"DefaultValue","CustomValue"
"Export your sales orders, including customer information and what was ordered.","Export your sales orders, including customer information and what was ordered."
"Exporting {0} document ...","Exporting {0} document ..."
"Exporting data, please wait...","Exporting data, please wait..."
"Exporting failed.  Try closing other programs that might have the file opened.","Exporting failed.  Try closing other programs that might have the file opened."
"Exporting finished!  Data has been successfully exported.","Exporting finished!  Data has been successfully exported."
"Exporting selected customers...","Exporting selected customers..."
"Exporting selected products...","Exporting selected products..."
"Exporting selected purchase orders...","Exporting selected purchase orders..."
"Exporting selected sales orders...","Exporting selected sales orders..."
"Exporting selected vendors...","Exporting selected vendors..."
"Extra Info","Extra Info"
"Extra Tab - Field Name","Extra Tab - Field Name"
"Factory","Factory"
"Failed to add firewall exceptions.  Continuing anyway.","Failed to add firewall exceptions.  Continuing anyway."
"Failed to add lines by location.  Please try again!","Failed to add lines by location.  Please try again!"
"Failed to add lines by Product.  Please try again!","Failed to add lines by Product.  Please try again!"
"Failed to backup data.  Check that the folder selected is accessible.","Failed to backup data.  Check that the folder selected is accessible."
"Failed to backup data.  Check that you can write to the target file.","Failed to backup data.  Check that you can write to the target file."
"Failed to backup data.  You may be out of disk space at the target location.","Failed to backup data.  You may be out of disk space at the target location."
"Failed to backup data.  You may be out of disk space.","Failed to backup data.  You may be out of disk space."
"Failed to backup data.  You may need to delete the inFlowBackup.temp file from your ProgramData folder.","Failed to backup data.  You may need to delete the inFlowBackup.temp file from your ProgramData folder."
"Failed to cancel order.  Changes are NOT saved.  Please try again.","Failed to cancel order.  Changes are NOT saved.  Please try again."
"Failed to cancel Work Order.  Changes are NOT saved.  Please try again.","Failed to cancel Work Order.  Changes are NOT saved.  Please try again."
"Failed to change password.  Please try again.","Failed to change password.  Please try again."
"Failed to complete order.  Changes are NOT saved.  Please try again.","Failed to complete order.  Changes are NOT saved.  Please try again."
"Failed to connect.  Please try again.","Failed to connect.  Please try again."
"Failed to convert Quote to an Order.  Changes are NOT saved.  Please try again.","Failed to convert Quote to an Order.  Changes are NOT saved.  Please try again."
"Failed to mark order complete.  Changes are NOT saved.  Please try again.","Failed to mark order complete.  Changes are NOT saved.  Please try again."
"Failed to merge the accounts.  Please check the password again.","Failed to merge the accounts.  Please check the password again."
"Failed to pay Invoice.  Changes are NOT saved.  Please try again.","Failed to pay Invoice.  Changes are NOT saved.  Please try again."
"Failed to pay order.  Changes are NOT saved.  Please try again.","Failed to pay order.  Changes are NOT saved.  Please try again."
"Failed to receive and pay for order.  Changes are NOT saved.  Please try again.","Failed to receive and pay for order.  Changes are NOT saved.  Please try again."
"Failed to receive products.  Changes are NOT saved.  Please try again.","Failed to receive products.  Changes are NOT saved.  Please try again."
"Failed to refund return.  Changes are NOT saved.  Please try again.","Failed to refund return.  Changes are NOT saved.  Please try again."
"Failed to refund returns.  Changes are NOT saved.  Please try again.","Failed to refund returns.  Changes are NOT saved.  Please try again."
"Failed to remove firewall exceptions.  Continuing anyway.","Failed to remove firewall exceptions.  Continuing anyway."
"Failed to re-open order.  Changes are NOT saved.  Please try again.","Failed to re-open order.  Changes are NOT saved.  Please try again."
"Failed to re-open Work Order.  Changes are NOT saved.  Please try again.","Failed to re-open Work Order.  Changes are NOT saved.  Please try again."
"Failed to reset database to blank.","Failed to reset database to blank."
"Failed to reset sample database.","Failed to reset sample database."
"Failed to restore data.  Check that the file selected is accessible.","Failed to restore data.  Check that the file selected is accessible."
"Failed to ship and receive payment.  Changes are NOT saved.  Please try again.","Failed to ship and receive payment.  Changes are NOT saved.  Please try again."
"Failed to switch to sample/real data.  Try restarting the software.","Failed to switch to sample/real data.  Try restarting the software."
"Failed to unstock.  Changes are NOT saved.  Please try again.","Failed to unstock.  Changes are NOT saved.  Please try again."
"Failed to update sample database.","Failed to update sample database."
"Failed trying to reattach the inFlow database","Failed trying to reattach the inFlow database"
"Failed trying to reset the Server Password for inFlow","Failed trying to reset the Server Password for inFlow"
"False","False"
"Fax","Fax"
"FEATURE","FEATURE"
"Fee","Fee"
"Field Name","Field Name"
"File Location","File Location"
"Fill Down","Fill Down"
"Fill in Server Info","Fill in Server Info"
"Fill in the <a action=""802"" tab=""102"">Startup Questionnaire</a>","Fill in the <a action=""802"" tab=""102"">Startup Questionnaire</a>"
"Filter By","Filter By"
"Filter by a date range for the date of the customer's last order.  e.g. show all customers who have made an order in the last year, but haven't ordered for 3 months.","Filter by a date range for the date of the customer's last order.  e.g. show all customers who have made an order in the last year, but haven't ordered for 3 months."
